,name,lat,lon,Counts,
1,11 Ave & W 41 St,40.76030096,-73.99884222,2,
2,12 Ave & W 40 St,40.76087502,-74.00277668,2,
3,5 Corners Library,40.73496102,-74.05950308,501,
4,Astor Place,40.7192822,-74.07126188,475,
5,Atlantic Ave & Furman St,40.69165183,-73.9999786,5,
6,Baldwin at Montgomery,40.7236589,-74.0641943,884,
7,Bergen Ave,40.72210379,-74.071455,630,
8,Broadway & Battery Pl,40.70463334,-74.01361706,1,
9,Broadway & Moylan Pl,40.8143256,-73.9590255,1,
10,Broadway & W 29 St,40.7462009,-73.98855723,2,
11,Broadway & W 32 St,40.74854862,-73.98808416,1,
12,Brunswick & 6th,40.72601173,-74.05038893,1856,
13,Brunswick St,40.7241765,-74.0506564,1559,
14,Christ Hospital,40.73478582,-74.05044364,450,
15,City Hall,40.7177325,-74.043845,2167,
16,Columbus Drive,40.7183552,-74.03891444,1751,
17,Communipaw & Berry Lane,40.71435837,-74.06661093,490,
18,Dey St,40.737711,-74.066921,405,
19,Dixon Mills,40.72163014,-74.04996783,1246,
20,E 33 St & 5 Ave,40.74765947,-73.98490707,1,
21,E 47 St & Park Ave,40.75510267,-73.97498696,1,
22,Essex Light Rail,40.7127742,-74.0364857,1541,1
23,Exchange Place,40.7162469,-74.0334588,5006,1
24,Fairmount Ave,40.72572614,-74.07195926,677,
25,Glenwood Ave,40.72755147,-74.07106072,323,
26,Grand St,40.71517768,-74.03768331,1154,
27,Grove St PATH,40.71958612,-74.04311746,9643,
28,Hamilton Park,40.72759597,-74.04424731,4631,
29,Harborside,40.7192517,-74.034234,2939,1
30,Heights Elevator,40.74871595,-74.0404433,655,
31,Henry St & Atlantic Ave,40.69089272,-73.99612349,1,
32,Hilltop,40.7311689,-74.0575736,756,
33,Jackson Square,40.71113,-74.0789,100,
34,JC Medical Center,40.71653978,-74.04963791,1248,
35,JCBS Depot,40.70965083,-74.06860113,28,
36,Jersey & 3rd,40.72333159,-74.04595256,1878,
37,Jersey & 6th St,40.72528911,-74.04557168,1609,
38,John St & William St,40.70862144,-74.00722156,1,
39,Journal Square,40.73367,-74.0625,1282,
40,Lafayette Park,40.71346383,-74.06285852,569,
41,Leonard Gordon Park,40.74590997,-74.05727148,670,
42,Liberty Light Rail,40.7112423,-74.0557013,2140,
43,Lincoln Park,40.7246051,-74.07840595,683,
44,Manila & 1st,40.72165072,-74.04288411,1507,
45,Marin Light Rail,40.71458404,-74.04281706,2705,
46,McGinley Square,40.72533993,-74.06762213,994,
47,Monmouth and 6th,40.72568548,-74.04879034,1150,
48,Montgomery St,40.71942,-74.05099,762,
49,Morris Canal,40.71241882,-74.03852552,2444,1
50,Murray St & Greenwich St,40.71485151,-74.01122332,1,
51,Newark Ave,40.72152515,-74.04630454,2186,
52,Newport PATH,40.7272235,-74.0337589,4276,
53,Newport Pkwy,40.7287448,-74.0321082,2742,
54,Oakland Ave,40.7376037,-74.0524783,1126,
55,Paulus Hook,40.7141454,-74.0335519,2159,1
56,Pershing Field,40.74267714,-74.05178863,934,
57,Pier 40 - Hudson River Park,40.72771408,-74.01129574,1,
58,Riverview Park,40.7443187,-74.0439909,541,
59,Sip Ave,40.73074263,-74.06378388,3789,
60,Union St,40.7182113,-74.0836394,299,
61,Van Vorst Park,40.71848892,-74.04772663,2042,
62,Vesey Pl & River Terrace,40.7153379,-74.01658354,2,
63,W 13 St & 6 Ave,40.73649403,-73.99704374,1,
64,W 46 St & 11 Ave,40.76341379,-73.99667444,1,
65,W 56 St & 10 Ave,40.768254,-73.988639,1,
66,Warren St,40.7211236,-74.03805095,2408,
67,Washington St,40.7242941,-74.0354826,1718,1
68,York St,40.71649,-74.04105,783,