0,11258,11294,11339,10786,10925,11008,10683,12563,10305,10507,10551,11053,11571,10104,10233,10195
10149,0,422,623,918,333,789,974,2071,1154,811,1537,1328,1881,1311,1148,1732
10032,275,0,392,984,397,567,1040,2138,1220,816,1603,1093,1947,1194,1153,1615
10065,624,400,0,1017,462,600,1073,2171,1253,849,1636,1126,1980,1227,1186,1648
9523,910,966,1010,0,577,1005,347,1444,498,738,812,1625,1254,684,1075,1105
9817,333,419,463,585,0,456,641,1739,821,478,1204,995,1548,978,815,1400
9733,804,580,624,1028,473,0,1084,2181,1054,517,1646,794,1991,894,854,1316
9616,730,787,831,385,397,670,0,1538,621,683,1004,1197,1348,778,1019,1199
9979,1367,1422,1467,731,1034,1462,804,0,608,1195,301,2082,569,859,1532,658
9586,1172,1228,1272,536,840,888,410,1306,0,606,378,1463,1115,222,943,643
9289,769,815,859,744,445,528,636,1897,609,0,923,884,1707,405,337,826
9564,1428,1488,1532,915,1096,1202,690,997,378,935,0,1728,563,586,1272,356
9711,1050,832,692,1273,718,546,1263,2426,1137,625,1451,0,2236,1002,927,1423
9786,1715,1775,1819,1137,1382,1488,980,1310,665,1276,313,2133,0,871,1613,642
9417,1156,1192,1236,684,823,906,581,2238,222,405,586,1262,1246,0,742,421
9406,1118,1155,1199,1341,786,869,1302,2494,1205,664,1520,1202,2304,1042,0,1463
9207,1577,1613,1658,1105,1244,1327,1002,2008,643,826,356,1683,1017,421,731,0