,lat,lon,name,Selection,Demand,Available,InstantDemand
0,40.69089272,-73.99612349,Depot,1,0,0,0
1,40.71241882,-74.03852552,Morris Canal,1,0,0,0
2,40.7127742,-74.0364857,Essex Light Rail,1,2,0,-2
3,40.7141454,-74.0335519,Paulus Hook,1,0,0,0
4,40.71458404,-74.04281706,Marin Light Rail,1,29,0,-29
5,40.71517768,-74.03768331,Grand St,1,2,0,-2
6,40.7162469,-74.0334588,Exchange Place,1,11,0,-11
7,40.71649,-74.04105,York St,1,0,0,0
8,40.71653978,-74.04963791,JC Medical Center,1,27,0,-27
9,40.7177325,-74.043845,City Hall,1,0,0,0
10,40.7183552,-74.03891444,Columbus Drive,1,0,0,0
11,40.71848892,-74.04772663,Van Vorst Park,1,1,71,70
12,40.7192517,-74.034234,Harborside,1,3,0,-3
13,40.71942,-74.05099,Montgomery St,1,0,0,0
14,40.71958612,-74.04311746,Grove St PATH,1,24,29,5
15,40.7211236,-74.03805095,Warren St,1,1,0,-1
16,40.72152515,-74.04630454,Newark Ave,1,0,0,0